,INFECTED_HO,QUARANTINED,DECEASED,POSITIVE
0,90.0,16.0,0.0,0.0
1,98.0,12.0,0.0,0.0
2,109.0,12.0,0.0,0.0
3,120.0,13.0,0.0,0.0
4,127.0,14.0,0.0,0.0
5,134.0,14.0,1.0,0.0
6,137.0,15.0,1.0,13.0
7,149.0,18.0,1.0,24.0
8,165.0,19.0,1.0,35.0
9,173.0,22.0,2.0,80.0
10,179.0,26.0,2.0,119.0
11,195.0,33.0,2.0,181.0
12,208.0,44.0,2.0,212.0
13,215.0,54.0,3.0,239.0
14,235.0,60.0,5.0,257.0
15,258.0,68.0,7.0,298.0
16,298.0,76.0,10.0,331.0
17,315.0,84.0,11.0,422.0
18,349.0,98.0,11.0,485.0
19,391.0,133.0,16.0,533.0
20,429.0,146.0,22.0,627.0
21,465.0,170.0,25.0,679.0
22,529.0,204.0,29.0,824.0
23,583.0,247.0,33.0,998.0
24,656.0,317.0,43.0,1174.0
25,737.0,421.0,51.0,1373.0
26,816.0,559.0,57.0,1687.0
27,893.0,698.0,67.0,1918.0
28,985.0,889.0,82.0,2127.0
29,1108.0,1087.0,98.0,2588.0
30,1252.0,1332.0,115.0,3067.0
31,1381.0,1578.0,134.0,3500.0
32,1500.0,1789.0,154.0,3978.0
33,1651.0,2074.0,180.0,4568.0
34,1768.0,2349.0,202.0,4900.0
35,1847.0,2608.0,238.0,5202.0
36,1989.0,2852.0,274.0,5754.0
37,2116.0,3186.0,316.0,6291.0
38,2162.0,3464.0,363.0,6665.0
39,2196.0,3752.0,394.0,6977.0
40,2264.0,4054.0,440.0,7247.0
41,2259.0,4301.0,476.0,7446.0
42,2274.0,4479.0,507.0,7593.0
43,2350.0,4710.0,544.0,8066.0
44,2334.0,4964.0,576.0,8433.0
45,2316.0,5342.0,611.0,8607.0
46,2282.0,5555.0,653.0,8706.0
47,2215.0,5682.0,693.0,8765.0
48,2161.0,5766.0,735.0,8778.0
49,2127.0,5869.0,761.0,8854.0
50,2179.0,6033.0,800.0,9129.0
51,2144.0,6166.0,842.0,9218.0
52,2107.0,6413.0,879.0,9444.0
53,2059.0,6512.0,926.0,9387.0
54,1987.0,6552.0,968.0,9305.0
55,1883.0,6513.0,1006.0,9140.0
56,1822.0,6562.0,1046.0,9060.0
57,1809.0,6564.0,1090.0,9096.0
58,1842.0,6713.0,1127.0,9308.0
59,1796.0,6695.0,1162.0,8990.0
60,1758.0,6599.0,1203.0,8779.0
61,1686.0,6473.0,1240.0,8505.0
62,1591.0,6341.0,1275.0,8294.0
63,1553.0,6316.0,1305.0,8235.0
64,1561.0,6332.0,1342.0,8386.0
65,1518.0,6187.0,1366.0,8137.0
66,1463.0,6049.0,1398.0,7903.0
67,1431.0,5870.0,1427.0,7536.0
68,1394.0,5702.0,1461.0,7232.0
69,1330.0,5523.0,1488.0,6929.0
70,1309.0,5412.0,1510.0,6913.0
71,1319.0,5431.0,1534.0,6980.0
72,1283.0,5276.0,1562.0,6664.0
73,1249.0,5120.0,1589.0,6303.0
74,1205.0,4845.0,1608.0,6001.0
75,1151.0,4618.0,1627.0,5566.0
76,1131.0,4526.0,1648.0,5530.0
77,1105.0,4368.0,1663.0,5336.0
78,1108.0,4301.0,1681.0,5381.0
79,1071.0,4096.0,1698.0,4921.0
80,1024.0,3878.0,1716.0,4613.0
81,990.0,3687.0,1730.0,4232.0
82,935.0,3529.0,1742.0,3924.0
83,886.0,3304.0,1763.0,3641.0
84,850.0,3207.0,1772.0,3457.0
85,863.0,3108.0,1780.0,3470.0
86,823.0,2910.0,1793.0,3242.0
87,772.0,2802.0,1811.0,2984.0
88,738.0,2629.0,1820.0,2810.0
89,701.0,2442.0,1838.0,2557.0
90,656.0,2287.0,1845.0,2444.0
91,639.0,2151.0,1857.0,2341.0
92,634.0,2085.0,1866.0,2338.0
93,620.0,1897.0,1869.0,2130.0
94,608.0,1780.0,1877.0,1953.0
95,568.0,1663.0,1883.0,1857.0
96,535.0,1545.0,1891.0,1789.0
97,502.0,1403.0,1897.0,1669.0
98,492.0,1339.0,1901.0,1621.0
99,492.0,1315.0,1905.0,1620.0
100,471.0,1211.0,1909.0,1474.0
101,452.0,1049.0,1915.0,1351.0
102,432.0,952.0,1924.0,1239.0
103,404.0,840.0,1927.0,1151.0
104,366.0,765.0,1931.0,1063.0
105,356.0,730.0,1934.0,1037.0
106,358.0,655.0,1937.0,1034.0
107,347.0,575.0,1942.0,972.0
108,348.0,561.0,1946.0,976.0
109,333.0,500.0,1953.0,928.0
