,coeff_name,Period_1,Period_2,Period_3,Period_4,Period_5,Period_6,Period_7,Period_8
0,start,1,24,85,120,203,261,312,338
1,end,24,85,120,203,261,312,338,363
2,start_date,2020-02-17,2020-03-11,2020-05-11,2020-06-15,2020-09-06,2020-11-03,2020-12-24,2021-01-19
3,end_date,2020-03-11,2020-05-11,2020-06-15,2020-09-06,2020-11-03,2020-12-24,2021-01-19,2021-02-13
4,beta_as,0.6184136965999116,0.22916819768628108,0.2334306226300493,0.5719059441355531,0.7026817788870668,0.3144411815254594,0.21658171986977495,0.14061485567935467
5,beta_sy,0.602282232351545,0.4060464116960669,0.4110381331854196,0.7359723644772062,0.7488107634962651,0.5640298613301316,0.39572063653109035,0.1217816494098995
6,beta_ho,0.07857602256154646,0.02312856457770906,0.0014165214442600365,0.0025372383862329573,0.03590827689086807,0.04072872008410467,0.028686556428456515,0.0014425333354377821
7,beta_quar,0.07260490750823179,0.005422536487891444,0.0011007510908277378,0.0016031336786484945,0.02012919860233513,0.019171736464774818,0.011242790791324127,0.0010802241038038206
8,epsilon,0.26500056013463946,0.4597188207295121,0.10286736057921078,0.10304871200109719,0.12668584544856168,0.40783810730314307,0.5350634286149548,0.5964547865214238
9,phi_as,0.3968988419716133,0.6331051606533511,0.9767782216239325,0.7772282227190715,0.8250132351529194,0.7998012927254492,0.7230827597324325,0.8444716469846416
10,phi_sy,0.40518556213530355,0.38618194835393604,0.9727357061853356,0.8183223951083124,0.6906868342216784,0.6742044230868098,0.6379276256394708,0.6447909031146021
11,psi,0.9510172547622784,0.5568901074055904,0.07475665541337786,0.9025886669737041,0.7703659885500911,0.6825686893887513,0.6879698902822722,0.557982782008796
12,mu,0.034961621968745936,0.06038957125504134,0.090012970399378,0.03401023129879041,0.04688394001376644,0.07930935788939888,0.11437840279063445,0.16425677276230063
13,pquar_as,0.11638780285312011,0.6920589397819784,0.7425927435434361,0.5201851569872386,0.6386476413687862,0.6962508222369751,0.537670263211806,0.6585960976760618
14,pquar_sy,0.09463538434538987,0.6410018030632676,0.7349709792903905,0.5693333307846571,0.5562803926000602,0.545322147270052,0.40343316266752244,0.3339218932185922
